T42,V42F,J19,V42
3.051,0.0,0.0,1
3.21863119557441,156.512371730173,54.3464500477659,1
3.38480680190555,155.153328072402,54.5140740361406,1
3.54953802613689,153.804752392261,54.6802425437033,1
3.71283608305259,152.466644689753,54.8449667764741,1
3.8747121466775,151.138970197167,55.0082579478867,1
4.0351773877221,149.821728914503,55.1701272308074,1
4.19424296188444,148.514894765981,55.3305857947404,1
4.3519199957828,147.218459059673,55.4896447941201,1
4.50821959686962,145.932389925179,55.6473153543588,1
4.66315285339183,144.656672875954,55.8036085817125,1
4.81673081888082,143.391278938907,55.9585355631697,1
4.96896453187865,142.136190730184,56.1121073511056,1
5.13351009010311,153.631400596623,56.2643993649882,1
5.29672721643611,152.391079972176,56.4289384471867,1
5.45862444265421,151.15873274226,56.5921491833668,1
5.61921026980841,149.934318344549,56.7540401043703,1
5.77849315250291,148.717793319406,56.9146197102305,1
5.93648152285779,147.509140282978,57.0738964546573,1
6.09318375984417,146.308321570245,57.2318787687394,1
6.24860822109398,145.115302413501,57.3885750305757,1
6.40276323771779,143.930053839654,57.5439935969085,1
6.55565708386713,142.752535286377,57.698142797826,1
6.70729800756484,141.582720677889,57.8510309066094,1
6.85769421853716,140.420569451862,58.0026661703631,1
7.00032340073296,133.168723666017,58.1530279629202,1
7.08944835803329,83.2133817084468,58.2954631900757,1
7.17859663746722,83.2351520887187,58.3845882150741,1
7.26773959322316,83.2301832036819,58.4737364790535,1
7.35685050676762,83.2002684876443,58.5628793418078,1
7.29540221661708,-57.3724763279415,58.6517802507742,1
7.23495561785427,-56.4372307582062,58.5903340645587,1
7.17543398065797,-55.5736182576538,58.5298893824253,1
7.11676519456667,-54.7773421169495,58.4703694901302,1
7.05888154898936,-54.0442736706837,58.4117022914458,1
7.00171959414218,-53.3704522973721,58.3538200889266,1
6.94522001314714,-52.7520100894208,58.2966594449616,1
6.90257572187682,-39.8157337457405,58.2401842650681,1
6.86103825193839,-38.7823244477659,58.197541670553,1
6.82049658186518,-37.8525779706251,58.1560056946818,1
6.78084365222471,-37.0227886560315,58.1154653319692,1
