iteration,timestamp,error_flag,T2,J4,P2F,P2,J5,J2,T1,J1,P1F,P1
0.0,2025-12-04 18:36:12.336981,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2025-12-04 18:36:15.145530,False,3.8186986446380615,55.133880615234375,1172.7760009765625,1.5,111.42758178710938,554.3916015625,3.7488536834716797,535.200439453125,1280.57373046875,1.5
2.0,2025-12-04 18:36:17.589291,False,5.126252174377441,56.43315505981445,891.1341552734375,1.2000000476837158,89.33706665039062,356.0718994140625,4.947695732116699,344.8731384277344,979.5657348632812,1.2000000476837158
3.0,2025-12-04 18:36:20.440438,False,6.109490394592285,57.411895751953125,700.2954711914062,1.0,77.61734771728516,247.77845764160156,5.846812725067139,240.6909637451172,771.1703491210938,1.0
4.0,2025-12-04 18:36:23.363693,False,6.870465278625488,58.168975830078125,0.0,0.5,72.59979248046875,139.38177490234375,6.540597915649414,193.1890411376953,1130.7930908203125,1.0
5.0,2025-12-04 18:36:26.229941,False,7.378867149353027,58.673885345458984,88.04158782958984,0.5,58.563961029052734,61.707481384277344,7.122081279754639,61.582847595214844,98.01224517822266,0.5
6.0,2025-12-04 18:36:29.190310,False,7.4086594581604,58.703678131103516,87.66349792480469,0.5,58.60494613647461,61.71220779418945,7.170320987701416,61.58937072753906,97.49041748046875,0.5
7.0,2025-12-04 18:36:31.931077,False,7.438788890838623,58.73380661010742,87.28519439697266,0.5,58.64506149291992,61.71693420410156,7.217259883880615,61.59580993652344,96.97513580322266,0.5
8.0,2025-12-04 18:36:34.148316,False,7.469213962554932,58.76423263549805,86.90684509277344,0.5,58.68434524536133,61.72166442871094,7.262946128845215,61.6021728515625,96.46620178222656,0.5
9.0,2025-12-04 18:36:37.032122,False,7.499891757965088,58.7949104309082,86.52862548828125,0.5,58.72283172607422,61.72639083862305,7.307429313659668,61.60845947265625,95.96337127685547,0.5
10.0,2025-12-04 18:36:40.058186,False,7.530778408050537,58.82579803466797,86.15070343017578,0.5,58.76055145263672,61.731117248535156,7.350759983062744,61.61466979980469,95.4664306640625,0.5
11.0,2025-12-04 18:36:42.847138,False,7.561830043792725,58.856849670410156,85.77324676513672,0.5,58.79754638671875,61.735836029052734,7.392988681793213,61.620811462402344,94.97515869140625,0.5
12.0,2025-12-04 18:36:45.687357,False,7.5930023193359375,58.88805389404297,81.51415252685547,0.5,58.90039825439453,61.7890739440918,7.434166431427002,61.672454833984375,90.8434829711914,0.5
13.0,2025-12-04 18:36:48.598307,False,7.644147872924805,58.9391975402832,80.9422378540039,0.5,58.94934844970703,61.79622268676758,7.486572265625,61.681026458740234,90.15776824951172,0.5
14.0,2025-12-04 18:36:51.483328,False,7.694519996643066,58.989566802978516,80.37471008300781,0.5,58.99772644042969,61.80331802368164,7.538404941558838,61.68954086303711,89.47688293457031,0.5
15.0,2025-12-04 18:36:53.993314,False,7.744134426116943,59.039180755615234,79.81153869628906,0.5,59.0455322265625,61.81035614013672,7.589658260345459,61.69799041748047,88.80088806152344,0.5
16.0,2025-12-04 18:36:56.793259,False,7.793004989624023,59.088050842285156,79.25271606445312,0.5,59.0927619934082,61.81734085083008,7.640328407287598,61.70637893676758,88.12980651855469,0.5
17.0,2025-12-04 18:36:59.440147,False,7.841146469116211,59.13618850708008,78.69821166992188,0.5,59.1394157409668,61.82427215576172,7.690410137176514,61.71470260620117,87.46369171142578,0.5
18.0,2025-12-04 18:37:02.409515,False,7.888571739196777,59.18361282348633,78.14800262451172,0.5,59.18549728393555,61.83115005493164,7.7399001121521,61.72296905517578,86.80257415771484,0.5
19.0,2025-12-04 18:37:05.277475,False,7.9352946281433105,59.2303352355957,77.6020736694336,0.5,59.23100662231445,61.837974548339844,7.7887959480285645,61.731170654296875,86.14647674560547,0.5
20.0,2025-12-04 18:37:07.954414,False,7.981327056884766,59.2763671875,77.06040954589844,0.5,59.275943756103516,61.84474563598633,7.837094783782959,61.73930740356445,85.49542999267578,0.5
21.0,2025-12-04 18:37:10.312919,False,8.026680946350098,59.321720123291016,76.52298736572266,0.5,59.320308685302734,61.851463317871094,7.88479471206665,61.74738311767578,84.84945678710938,0.5
22.0,2025-12-04 18:37:12.623641,False,8.071367263793945,59.36636734008789,0.0,0.0,59.32447052001953,60.19320297241211,7.931894302368164,61.035587310791016,120.89653015136719,0.5
23.0,2025-12-04 18:37:15.475774,False,8.081120491027832,59.376121520996094,0.0,0.0,59.35252380371094,60.20323181152344,7.97057580947876,61.045833587646484,120.4866714477539,0.5
24.0,2025-12-04 18:37:18.415284,False,8.092769622802734,59.38777160644531,0.0,0.0,59.349266052246094,60.14143371582031,8.006921768188477,61.011417388916016,121.86337280273438,0.5
25.0,2025-12-04 18:37:20.660051,False,8.097334861755371,59.39228439331055,0.0,0.0,59.17935562133789,59.17672348022461,8.033099174499512,59.16938018798828,0.0,0.0
26.0,2025-12-04 18:37:23.370120,False,8.046126365661621,59.3410758972168,0.0,0.0,59.130043029785156,59.12696838378906,7.984528541564941,59.1198616027832,0.0,0.0
27.0,2025-12-04 18:37:25.930831,False,7.9950480461120605,59.2900505065918,0.0,0.0,59.273197174072266,60.076011657714844,7.93582820892334,60.972511291503906,123.41949462890625,0.5
28.0,2025-12-04 18:37:28.717960,False,8.00280475616455,59.29784393310547,78.3231430053711,0.5,59.3258056640625,61.82896041870117,7.9604811668396,61.730289459228516,86.21671295166016,0.5
29.0,2025-12-04 18:37:31.663118,False,8.046843528747559,59.34184646606445,0.0,0.0,59.32700729370117,60.11297607421875,7.992893218994141,60.997314453125,122.4273910522461,0.5
30.0,2025-12-04 18:37:34.245412,False,8.054576873779297,59.349578857421875,0.0,0.0,59.343387603759766,60.119895935058594,8.01650619506836,61.00356674194336,122.17728424072266,0.5
31.0,2025-12-04 18:37:36.870085,False,8.064512252807617,59.359466552734375,0.0,0.0,59.17313003540039,59.16426467895508,8.037650108337402,59.15994644165039,0.0,0.0
32.0,,,8.015172958374023,59.31012725830078,0.0,0.0,,,,,,
