iteration,timestamp,J5
0,2025-12-04 18:36:10.241058,0.0
1,2025-12-04 18:36:13.052192,111.42757820720368
2,2025-12-04 18:36:15.901240,89.3370651017664
3,2025-12-04 18:36:18.252391,77.61735093335894
4,2025-12-04 18:36:21.198476,72.5997926811789
5,2025-12-04 18:36:24.091655,58.563959462890715
6,2025-12-04 18:36:27.020963,58.604945841555505
7,2025-12-04 18:36:29.897253,58.64506300797817
8,2025-12-04 18:36:32.661211,58.684346162897015
9,2025-12-04 18:36:34.849994,58.7228307162654
10,2025-12-04 18:36:37.957927,58.76055201456641
11,2025-12-04 18:36:40.696621,58.79754498197746
12,2025-12-04 18:36:43.519852,58.90039778464522
13,2025-12-04 18:36:46.453038,58.94934860245739
14,2025-12-04 18:36:49.367212,58.997726537956545
15,2025-12-04 18:36:52.188223,59.045530642780086
16,2025-12-04 18:36:54.636262,59.09276041136205
17,2025-12-04 18:36:57.618357,59.139415805748826
18,2025-12-04 18:37:00.148582,59.18549723617326
19,2025-12-04 18:37:03.152031,59.2310055395436
20,2025-12-04 18:37:05.960838,59.27594195623967
21,2025-12-04 18:37:08.668908,59.32030810571262
22,2025-12-04 18:37:11.092988,59.324468795036765
23,2025-12-04 18:37:13.300896,59.35252361818306
24,2025-12-04 18:37:16.215616,59.34926668208599
25,2025-12-04 18:37:19.076592,59.179353977069795
26,2025-12-04 18:37:21.485726,59.130044416272305
27,2025-12-04 18:37:24.114047,59.27319531681995
28,2025-12-04 18:37:26.569012,59.32580674669233
29,2025-12-04 18:37:29.488804,59.32700918921094
30,2025-12-04 18:37:32.413441,59.3433867570679
31,2025-12-04 18:37:34.984552,59.1731303038836
32,2025-12-04 18:37:37.549140,59.123017812275116
