iteration,timestamp,T1,J1,P1F,P1
0,2025-12-04 18:36:10.315521,0.0,0.0,0.0,1
1,2025-12-04 18:36:13.113448,3.7488537004112046,535.2004315069282,1280.5736986297156,1.5
2,2025-12-04 18:36:15.951961,4.947695664798945,344.87313606522235,979.5657595651838,1.2
3,2025-12-04 18:36:18.225373,5.846812535649313,240.69096394882467,771.170360511753,1
4,2025-12-04 18:36:21.258967,6.540597680044198,193.1890371793795,1130.7930854708034,1
5,2025-12-04 18:36:24.137532,7.122081098267065,61.58284693761385,98.01224499089221,0.5
6,2025-12-04 18:36:27.048698,7.170321149642852,61.58936982209613,97.49041423230885,0.5
7,2025-12-04 18:36:29.872634,7.217259855581068,61.59581075894102,96.97513928471862,0.5
8,2025-12-04 18:36:32.695731,7.262946049103186,61.60217251358223,96.46619891342114,0.5
9,2025-12-04 18:36:34.899816,7.307429349723244,61.60845788024813,95.9633695801496,0.5
10,2025-12-04 18:36:37.999546,7.350760004104762,61.61466964703996,95.46642823680324,0.5
11,2025-12-04 18:36:40.687736,7.392988680910797,61.62081054962501,94.97515602999952,0.5
12,2025-12-04 18:36:43.579724,7.434166204448072,61.672456436379996,90.84348508959992,0.5
13,2025-12-04 18:36:46.509645,7.486572438344278,61.68102794284882,90.15776457209435,0.5
14,2025-12-04 18:36:49.422602,7.538404964995523,61.68953896139791,89.47688308816791,0.5
15,2025-12-04 18:36:52.211438,7.589658462205906,61.69798894333005,88.80088453359566,0.5
16,2025-12-04 18:36:54.637346,7.640328186281265,61.70637738212335,88.12980943013198,0.5
17,2025-12-04 18:36:57.557637,7.690409970735039,61.71470381785287,87.4636945717701,0.5
18,2025-12-04 18:37:00.166036,7.73990022901491,61.72296783506052,86.80257319515748,0.5
19,2025-12-04 18:37:03.198851,7.788795953957591,61.73116906036396,86.1464751708827,0.5
20,2025-12-04 18:37:06.008803,7.837094713925177,61.73930715986177,85.4954272110582,0.5
21,2025-12-04 18:37:08.754063,7.8847946456468945,61.74738183641112,84.84945308711032,0.5
22,2025-12-04 18:37:11.121874,7.931894443874129,61.035586735467604,120.89653058129612,0.5
23,2025-12-04 18:37:13.324105,7.970575602894033,61.04583328698454,120.48666852061817,0.5
24,2025-12-04 18:37:16.216433,8.006921935360985,61.01141575523586,121.8633697905655,0.5
25,2025-12-04 18:37:19.103810,8.033098862912025,59.16938052407013,0.0,0
26,2025-12-04 18:37:21.496781,7.984528748158061,59.11986005504714,0.0,0
27,2025-12-04 18:37:24.137571,7.935828422118042,60.972512589070476,123.41949643718088,0.5
28,2025-12-04 18:37:26.635697,7.960481334989781,61.73029112203678,86.21671023705754,0.5
29,2025-12-04 18:37:29.463655,7.992893271800071,60.99731517634721,122.42739294611174,0.5
30,2025-12-04 18:37:32.399794,8.016506030992428,61.0035678067275,122.17728773089995,0.5
31,2025-12-04 18:37:34.997677,8.037649980173592,59.159946157234025,0.0,0
32,2025-12-04 18:37:37.575467,7.987210722575527,59.10993513331167,0.0,0
