iteration,timestamp,J2
0,2025-12-04 18:36:10.239767,0.0
1,2025-12-04 18:36:13.052220,554.3915942159321
2,2025-12-04 18:36:15.958102,356.07190226382056
3,2025-12-04 18:36:18.218626,247.77845455380796
4,2025-12-04 18:36:21.277954,139.38177214609587
5,2025-12-04 18:36:24.120262,61.70748015931328
6,2025-12-04 18:36:27.020980,61.71220632085857
7,2025-12-04 18:36:29.854726,61.71693509722759
8,2025-12-04 18:36:32.704277,61.721664414136754
9,2025-12-04 18:36:34.901651,61.726392171688566
10,2025-12-04 18:36:37.959935,61.73111623704404
11,2025-12-04 18:36:40.671462,61.73583443570139
12,2025-12-04 18:36:43.511770,61.78907311830604
13,2025-12-04 18:36:46.481938,61.79622206294613
14,2025-12-04 18:36:49.367289,61.80331616866132
15,2025-12-04 18:36:52.200039,61.81035573140268
16,2025-12-04 18:36:54.617044,61.817341034806056
17,2025-12-04 18:36:57.513935,61.82427235120612
18,2025-12-04 18:37:00.128989,61.8311499397705
19,2025-12-04 18:37:03.165664,61.83797404477756
20,2025-12-04 18:37:05.961696,61.8447448940693
21,2025-12-04 18:37:08.703164,61.851462697723086
22,2025-12-04 18:37:11.084933,60.19320187104516
23,2025-12-04 18:37:13.292039,60.203233124011405
24,2025-12-04 18:37:16.223278,60.141432058122284
25,2025-12-04 18:37:19.076560,59.17672230427945
26,2025-12-04 18:37:21.540289,59.12696681605491
27,2025-12-04 18:37:24.182082,60.07601273047922
28,2025-12-04 18:37:26.581079,61.828960719987165
29,2025-12-04 18:37:29.488789,60.112974317367815
30,2025-12-04 18:37:32.494796,60.11989501125914
31,2025-12-04 18:37:34.989942,59.16426306680959
32,2025-12-04 18:37:37.527851,59.114331367901755
