iteration,timestamp,T2,J4,P2F,P2
0,2025-12-04 18:36:10.260780,0.0,0.0,0.0,1
1,2025-12-04 18:36:13.083133,3.818698586073316,55.13388153639945,1172.776038560452,1.5
2,2025-12-04 18:36:15.940640,5.126252250247117,56.43315660010674,891.134147801495,1.2
3,2025-12-04 18:36:18.230653,6.109490593412919,57.41189685939453,700.29545446192,1
4,2025-12-04 18:36:21.193599,6.870465351466659,58.16897446103735,0.0,0.5
5,2025-12-04 18:36:24.092251,7.378867361891597,58.673885699281094,88.04158725493755,0.5
6,2025-12-04 18:36:27.080603,7.408659485024776,58.70367820897944,87.66349433131428,0.5
7,2025-12-04 18:36:29.863225,7.438789097796422,58.73380816321545,87.28519222179149,0.5
8,2025-12-04 18:36:32.687802,7.46921416474732,58.76423352432108,86.90684686905962,0.5
9,2025-12-04 18:36:34.875365,7.499891804602883,58.794911409156704,86.52862626491428,0.5
10,2025-12-04 18:36:37.983649,7.530778449519233,58.825798248425976,86.15070103647676,0.5
11,2025-12-04 18:36:40.688089,7.561830053458991,58.85684999514286,85.77324514388852,0.5
12,2025-12-04 18:36:43.511953,7.593002366677197,58.88805225658295,81.51415053551673,0.5
13,2025-12-04 18:36:46.500250,7.644147849379101,58.93919635134522,80.94223496431005,0.5
14,2025-12-04 18:36:49.391568,7.694520058702379,58.98956721752293,80.3747065070947,0.5
15,2025-12-04 18:36:52.232172,7.744134198415913,59.039180056913956,79.8115414877854,0.5
16,2025-12-04 18:36:54.637315,7.79300491547687,59.088049514566606,79.25271721551591,0.5
17,2025-12-04 18:36:57.539346,7.841146298699561,59.136189677440974,78.69821190351082,0.5
18,2025-12-04 18:37:00.132038,7.88857187305466,59.183614068712764,78.14800481835995,0.5
19,2025-12-04 18:37:03.260278,7.935294597535088,59.23033564564344,77.60207641779553,0.5
20,2025-12-04 18:37:05.975496,7.981326866644684,59.276366801073024,77.06040847445585,0.5
21,2025-12-04 18:37:08.803924,8.026680515606742,59.32171936863191,76.52298418215352,0.5
22,2025-12-04 18:37:11.127675,8.071366829076007,59.36636914760933,0.0,0
23,2025-12-04 18:37:13.356906,8.081120167757431,59.37612338942696,0.0,0
24,2025-12-04 18:37:16.215853,8.092769353547093,59.38776992195898,0.0,0
25,2025-12-04 18:37:19.092550,8.097334838676227,59.392284835069134,0.0,0
26,2025-12-04 18:37:21.523601,8.046126437530026,59.341076669123105,0.0,0
27,2025-12-04 18:37:24.139707,7.995048248918718,59.290049765721626,0.0,0
28,2025-12-04 18:37:26.647942,8.002804425925449,59.29784224305198,78.32314240102617,0.5
29,2025-12-04 18:37:29.481530,8.046843423461565,59.341844932123095,0.0,0
30,2025-12-04 18:37:32.433811,8.054577169543268,59.34957956846233,0.0,0
31,2025-12-04 18:37:35.016759,8.064511852468916,59.359465176393,0.0,0
32,2025-12-04 18:37:37.547866,8.015172594469687,59.3101258205581,0.0,0
