iteration,timestamp,P79,T41,T42,P1,J2,J13
0.0,2024-12-24 15:57:40.247870,1.0,3.0510001182556152,3.0510001182556152,1.0,0.0,0.0
1.0,2024-12-24 15:57:45.880787,1.0,3.3647472858428955,3.2481727600097656,1.0,77.71089172363281,78.09886932373047
2.0,2024-12-24 15:57:51.372403,1.0,3.6717066764831543,3.4489753246307373,1.0,77.72142791748047,78.10417175292969
3.0,2024-12-24 15:57:57.134830,1.0,3.9730355739593506,3.6522605419158936,1.0,77.73184204101562,78.10954284667969
4.0,2024-12-24 15:58:03.241256,1.0,4.269386291503906,3.857387065887451,1.0,77.74214935302734,78.1149673461914
5.0,2024-12-24 15:58:09.145359,1.0,4.561195373535156,4.063929080963135,1.0,77.75237274169922,78.12042236328125
6.0,2024-12-24 15:58:15.364873,1.0,4.848784446716309,4.271574974060059,1.0,77.76251220703125,78.12590789794922
7.0,2024-12-24 15:58:21.943524,1.0,5.1324052810668945,4.480082035064697,1.0,77.77257537841797,78.13143157958984
8.0,2024-12-24 15:58:28.919750,1.0,5.412262916564941,4.689254283905029,1.0,77.7825698852539,78.13697052001953
9.0,2024-12-24 15:58:35.620917,1.0,5.6885294914245605,4.898929595947266,1.0,77.79249572753906,78.14253234863281
10.0,2024-12-24 15:58:42.023173,1.0,5.96135139465332,5.108969688415527,1.0,77.80235290527344,78.14811706542969
11.0,2024-12-24 15:58:49.091917,1.0,6.230856418609619,5.319255352020264,1.0,77.8121566772461,78.15371704101562
12.0,2024-12-24 15:58:56.152855,1.0,6.497158050537109,5.529681205749512,1.0,77.82190704345703,78.15933227539062
13.0,2024-12-24 15:59:03.161066,1.0,6.7622175216674805,5.743943214416504,1.0,77.83600616455078,78.17330169677734
14.0,2024-12-24 15:59:10.311704,1.0,7.024285316467285,5.958117485046387,1.0,77.8457260131836,78.17902374267578
15.0,2024-12-24 15:59:16.723670,1.0,7.1579108238220215,6.167316913604736,0.0,65.41826629638672,77.44585418701172
16.0,2024-12-24 15:59:24.288684,1.0,7.2923126220703125,6.374145030975342,0.0,65.50533294677734,77.45384979248047
17.0,2024-12-24 15:59:32.229051,1.0,7.427472114562988,6.578623294830322,0.0,65.59288787841797,77.46183776855469
18.0,2024-12-24 15:59:39.437968,1.0,7.563370227813721,6.780770778656006,0.0,65.680908203125,77.46981811523438
19.0,2024-12-24 15:59:46.650049,1.0,7.699987411499023,6.98060941696167,0.0,65.76939392089844,77.47779846191406
20.0,2024-12-24 15:59:53.297929,1.0,7.837303161621094,7.178159713745117,0.0,65.85832214355469,77.48576354980469
21.0,2024-12-24 16:00:00.086887,1.0,7.9752984046936035,7.373443126678467,0.0,65.94767761230469,77.49372863769531
22.0,2024-12-24 16:00:07.075800,1.0,8.113951683044434,7.566482067108154,0.0,66.03746032714844,77.5016860961914
23.0,2024-12-24 16:00:14.122712,1.0,8.253242492675781,7.757297992706299,0.0,66.12764739990234,77.50963592529297
24.0,2024-12-24 16:00:20.656966,1.0,8.393149375915527,7.9459147453308105,0.0,66.21822357177734,77.517578125
25.0,2024-12-24 16:00:26.997070,1.0,8.53255558013916,8.130583763122559,0.0,66.29129791259766,77.52074432373047
26.0,2024-12-24 16:00:33.950009,0.0,8.487897872924805,8.154903411865234,0.0,59.71306610107422,59.560726165771484
27.0,2024-12-24 16:00:40.987677,0.0,8.44679069519043,8.175674438476562,0.0,59.684627532958984,59.5561637878418
28.0,2024-12-24 16:00:48.052775,0.0,8.409173965454102,8.192954063415527,0.0,59.658382415771484,59.551612854003906
29.0,2024-12-24 16:00:55.179917,0.0,8.374985694885254,8.206806182861328,0.0,59.634300231933594,59.54708480834961
30.0,2024-12-24 16:01:01.750043,0.0,8.344154357910156,8.217300415039062,0.0,59.61234664916992,59.54258346557617
31.0,2024-12-24 16:01:08.905335,0.0,8.316603660583496,8.22451400756836,0.0,59.59248733520508,59.538124084472656
32.0,2024-12-24 16:01:16.162880,0.0,8.292245864868164,8.228534698486328,0.0,59.57468032836914,59.53373718261719
33.0,2024-12-24 16:01:23.544761,0.0,8.27098274230957,8.229460716247559,0.0,59.558902740478516,59.529483795166016
34.0,2024-12-24 16:01:30.842575,0.0,8.252710342407227,8.227396011352539,0.0,59.54518127441406,59.525535583496094
35.0,2024-12-24 16:01:37.920161,0.0,8.237305641174316,8.222464561462402,0.0,59.53352737426758,59.52202606201172
36.0,2024-12-24 16:01:44.803943,0.0,8.224055290222168,8.215376853942871,0.0,59.52195358276367,59.51482391357422
37.0,2024-12-24 16:01:51.492683,0.0,8.214702606201172,8.211136817932129,0.0,59.513580322265625,59.50957489013672
38.0,2024-12-24 16:01:58.203658,0.0,8.207025527954102,8.205221176147461,0.0,59.505889892578125,59.503658294677734
39.0,2024-12-24 16:02:04.859913,0.0,8.200088500976562,8.198565483093262,0.0,59.49871826171875,59.49698257446289
40.0,2024-12-24 16:02:11.676581,0.0,8.193289756774902,8.191770553588867,0.0,59.491859436035156,59.490196228027344
41.0,2024-12-24 16:02:18.375006,0.0,8.186493873596191,8.184974670410156,0.0,59.48506164550781,59.483402252197266
42.0,2024-12-24 16:02:24.978993,0.0,8.179697036743164,8.178177833557129,0.0,59.478267669677734,59.47660446166992
43.0,2024-12-24 16:02:31.477686,0.0,8.172901153564453,8.171381950378418,0.0,59.47146987915039,59.46980667114258
44.0,2024-12-24 16:02:38.208581,0.0,8.166104316711426,8.16458511352539,0.0,59.46467208862305,59.4630126953125
45.0,2024-12-24 16:02:44.808919,0.0,8.159308433532715,8.157788276672363,0.0,59.45787811279297,59.456214904785156
46.0,2024-12-24 16:02:51.994831,0.0,8.152511596679688,8.150992393493652,0.0,59.451080322265625,59.44941711425781
47.0,2024-12-24 16:02:59.236877,0.0,8.14571475982666,8.144195556640625,0.0,59.44428634643555,59.442623138427734
48.0,2024-12-24 16:03:05.926323,0.0,8.13891887664795,8.137399673461914,0.0,59.4374885559082,59.43582534790039
49.0,2024-12-24 16:03:13.245744,0.0,8.127716064453125,8.123942375183105,0.0,59.42503356933594,59.42078399658203
50.0,2024-12-24 16:03:20.737407,0.0,8.115641593933105,8.111357688903809,0.0,59.41321563720703,59.408409118652344
51.0,2024-12-24 16:03:27.637529,0.0,8.103403091430664,8.098936080932617,0.0,59.4010009765625,59.39606475830078
52.0,2024-12-24 16:03:34.349994,0.0,8.091107368469238,8.08657169342041,0.0,59.388710021972656,59.38372802734375
53.0,2024-12-24 16:03:40.995975,0.0,8.078790664672852,8.074228286743164,0.0,59.37639617919922,59.371395111083984
54.0,2024-12-24 16:03:47.702965,0.0,8.066466331481934,8.061893463134766,0.0,59.364070892333984,59.359066009521484
55.0,2024-12-24 16:03:54.416959,0.0,8.05413818359375,8.049561500549316,0.0,59.35174560546875,59.346736907958984
56.0,2024-12-24 16:04:01.579353,0.0,8.04180908203125,8.0372314453125,0.0,59.33941650390625,59.33440399169922
57.0,2024-12-24 16:04:08.510642,0.0,8.02947998046875,8.024901390075684,0.0,59.32708740234375,59.32207489013672
58.0,2024-12-24 16:04:15.456171,0.0,8.017149925231934,8.012571334838867,0.0,59.31475830078125,59.30974578857422
59.0,2024-12-24 16:04:22.343916,0.0,8.004819869995117,8.00024127960205,0.0,59.302425384521484,59.29741668701172
60.0,2024-12-24 16:04:29.430879,0.0,7.992490291595459,7.987911701202393,0.0,59.290096282958984,59.28508758544922
61.0,2024-12-24 16:04:36.592617,0.0,7.974611282348633,7.96717643737793,0.0,59.266807556152344,59.25679016113281
62.0,2024-12-24 16:04:43.687015,0.0,7.955986499786377,7.947186470031738,0.0,59.248146057128906,59.237430572509766
63.0,2024-12-24 16:04:50.045821,0.0,7.937047481536865,7.927510738372803,0.0,59.229148864746094,59.21808624267578
