iteration,timestamp,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,ScadaCommand_PU2,ScadaCommand_PU3,ScadaCommand_PU4,ScadaCommand_PU5,ScadaCommand_PU6,ScadaCommand_PU7,ScadaCommand_PU8,ScadaCommand_PU9,ScadaCommand_PU10,ScadaCommand_PU11,ScadaCommand_v1,ScadaCommand_V45,ScadaCommand_V47,ScadaCommand_V2,T1,T2,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,V2,PU4,PU5,PU6,PU7,T3,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11,T4,T5,T6,T7
0.0,2025-02-20 22:01:44.312201,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0,0,0,1,1,0.0,0,0,0.0,0.0,0.0,0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,5.199999809265137,2.5
1.0,2025-02-20 22:02:43.420995,90.69136047363281,90.70864868164062,2.977940559387207,37.93561935424805,1.0,1.0,1,1,,0,0,0,1,1,,0,0,,,,0,3.0319082736968994,0.4572477638721466,0.0,23.6336727142334,72.27549743652344,23.595626831054688,84.10872650146484,41.47626495361328,24.997587203979492,0.0,0.0,0.0,48.330650329589844,0.0,0.0,0.0,0.0,1.0,2.974067449569702,38.16952133178711,0.0,0.0,29.259435653686523,85.42058563232422,29.259435653686523,57.58793258666992,1.0,0.0,0.0,2.519460916519165,1.0542067289352417,5.170016765594482,2.3851161003112793
2.0,2025-02-20 22:03:35.783767,96.12450408935547,96.14336395263672,2.975430727005005,35.05415344238281,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.026608943939209,0.47850215435028076,107.00462341308594,25.347410202026367,89.2158432006836,25.408830642700195,84.6187744140625,28.445703506469727,27.545703887939453,33.94999694824219,0.0,0.0,49.027156829833984,1.0,1.0,0.0,0.0,1.0,3.0169243812561035,37.464908599853516,0.0,0.0,27.103832244873047,84.59273529052734,27.103832244873047,57.49189376831055,1.0,0.0,0.0,2.5408856868743896,1.1065096855163574,5.1398444175720215,2.270519495010376
3.0,2025-02-20 22:04:27.105702,96.12698364257812,96.14584350585938,2.9754295349121094,35.052825927734375,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.0213685035705566,0.4996526539325714,106.87598419189453,25.364639282226562,89.24871826171875,25.426010131835938,84.6390380859375,28.461795806884766,27.56179428100586,33.940391540527344,0.0,0.0,49.02553176879883,1.0,1.0,0.0,0.0,1.0,3.0597620010375977,37.44768142700195,0.0,0.0,27.102659225463867,84.6236801147461,27.102659225463867,57.3701171875,1.0,0.0,0.0,2.5623056888580322,1.1587661504745483,5.109411239624023,2.153568983078003
4.0,2025-02-20 22:05:15.926747,96.12942504882812,96.14828491210938,2.975428342819214,35.051517486572266,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.016186475753784,0.520699679851532,106.7478256225586,25.381799697875977,89.28155517578125,25.44312286376953,84.6592788696289,28.477825164794922,27.577823638916016,33.9309196472168,0.0,0.0,49.02387619018555,1.0,1.0,0.0,0.0,1.0,3.1025803089141846,37.43046951293945,0.0,0.0,27.101518630981445,84.65460205078125,27.101518630981445,57.271575927734375,1.0,0.0,0.0,2.5837209224700928,1.210976004600525,5.078786373138428,2.036879539489746
5.0,2025-02-20 22:06:06.056815,96.13182830810547,96.15068817138672,2.9754271507263184,35.05023193359375,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.0110628604888916,0.5416436791419983,106.62022399902344,25.398897171020508,89.31434631347656,25.46017074584961,84.67948913574219,28.49379539489746,27.593793869018555,33.92142868041992,0.0,0.0,49.0222053527832,1.0,1.0,0.0,0.0,1.0,3.1453795433044434,37.413272857666016,0.0,0.0,27.100412368774414,84.68551635742188,27.100412368774414,57.17326736450195,1.0,0.0,0.0,2.6051316261291504,1.2631394863128662,5.047971725463867,1.9204483032226562
6.0,2025-02-20 22:06:55.427767,96.13418579101562,96.15304565429688,2.975426197052002,35.04896926879883,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.0059971809387207,0.5624852180480957,106.49317932128906,25.415931701660156,89.34709930419922,25.477153778076172,84.69970703125,28.509706497192383,27.609704971313477,33.91191864013672,0.0,0.0,49.0204963684082,1.0,1.0,0.0,0.0,1.0,3.188159227371216,37.39609146118164,0.0,0.0,27.099342346191406,84.71641540527344,27.099342346191406,57.07497787475586,1.0,0.0,0.0,2.626537322998047,1.3152564764022827,5.016968727111816,1.8042733669281006
7.0,2025-02-20 22:07:44.589821,96.1364974975586,96.15535736083984,2.9754250049591064,35.0477294921875,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,3.0009894371032715,0.5832247734069824,106.36668395996094,25.432899475097656,89.37982177734375,25.49407386779785,84.71987915039062,28.525556564331055,27.62555503845215,33.90238571166992,0.0,0.0,49.018775939941406,1.0,1.0,0.0,0.0,1.0,3.23091983795166,37.37893295288086,0.0,0.0,27.098308563232422,84.7472915649414,27.098308563232422,56.976715087890625,1.0,0.0,0.0,2.6479382514953613,1.367327094078064,4.98577880859375,1.6883525848388672
8.0,2025-02-20 22:08:33.389560,96.1387710571289,96.15763854980469,2.97542405128479,35.0465087890625,1.0,1.0,1,1,,1,0,0,1,1,,0,0,,,,1,2.9960391521453857,0.6038629412651062,106.2407455444336,25.449804306030273,89.41250610351562,25.510929107666016,84.74003601074219,28.54134750366211,27.641347885131836,33.8928337097168,0.0,0.0,49.01702880859375,1.0,1.0,0.0,0.0,1.0,3.2736611366271973,37.36178970336914,0.0,0.0,27.09731101989746,84.77816009521484,27.09731101989746,56.878482818603516,1.0,0.0,0.0,2.6693344116210938,1.4193514585494995,4.954404354095459,1.5726838111877441
9.0,2025-02-20 22:09:22.914042,96.14099884033203,96.15986633300781,2.9754228591918945,35.04531478881836,1.0,1.0,1,1,,1,0,0,1,1,,1,0,,,,1,2.9911463260650635,0.62440025806427,106.1153564453125,25.466646194458008,89.44515228271484,25.527721405029297,84.76016235351562,28.55708122253418,27.657079696655273,33.88326644897461,0.0,0.0,49.01526641845703,1.0,1.0,0.0,0.0,1.0,3.316382884979248,37.344661712646484,0.0,0.0,27.096349716186523,84.80901336669922,27.096349716186523,56.780277252197266,1.0,0.0,0.0,2.690725326538086,1.4713295698165894,4.922845840454102,1.45726478099823
