iteration,timestamp,T5,T7,PU8F,PU10F,PU11F,J302,J306,J307,J317,PU8,PU10,PU11
0,2025-02-15 21:52:56.611543,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,2025-02-15 21:54:17.691185,1.0542067289352417,2.3851161003112793,38.1695207664858,0.0,0.0,29.2594356592844,85.4205892582137,29.2594356592868,57.5879337925315,1,0,0
2,2025-02-15 21:55:50.925934,1.1065096855163574,2.270519495010376,37.4649097256832,0.0,0.0,27.1038331635542,84.59273788985,27.1038331635568,57.4918935899874,1,0,0
3,2025-02-15 21:57:17.350418,1.1587661504745483,2.153568983078003,37.4476827704141,0.0,0.0,27.1026596524973,84.6236794575016,27.1026596524998,57.3701167655841,1,0,0
4,2025-02-15 21:58:46.831006,1.210976004600525,2.036879539489746,37.4304679724832,0.0,0.0,27.101517790602,84.6546045804626,27.1015177906047,57.2715770674398,1,0,0
5,2025-02-15 22:00:18.837284,1.2631394863128662,1.9204483032226562,37.4132711152744,0.0,0.0,27.1004119758098,84.6855154166665,27.1004119758124,57.1732655447079,1,0,0
6,2025-02-15 22:01:47.680972,1.3152564764022827,1.8042733669281006,37.3960922632447,0.0,0.0,27.0993423628442,84.7164120606091,27.0993423628467,57.0749782826241,1,0,0
7,2025-02-15 22:03:13.054231,1.367327094078064,1.6883525848388672,37.3789313988921,0.0,0.0,27.0983088614159,84.7472945088012,27.0983088614184,56.9767156458562,1,0,0
8,2025-02-15 22:04:44.360712,1.4193514585494995,1.5726838111877441,37.3617884765341,0.0,0.0,27.0973112941898,84.778162722893,27.0973112941924,56.8784815963173,1,0,0
9,2025-02-15 22:06:16.457352,1.5177273750305176,1.45726478099823,37.3446635576332,0.0,0.0,27.096349815757,84.8090167970795,27.0963498157596,56.7802765088494,1,0,0
10,2025-02-15 22:07:45.452649,1.5177273750305176,1.548603892326355,35.2793493695856,30.8322113143771,0.0,20.890314605845,82.3808234344394,20.7782735758709,68.0525535638465,1,1,0
11,2025-02-15 22:09:13.936080,1.5640782117843628,1.548603892326355,35.2619204665011,30.8240549513808,0.0,20.8861021221768,82.4069038294098,20.7741156520494,68.0753573008372,1,1,0
12,2025-02-15 22:10:40.172834,1.610382318496704,1.5927653312683105,35.2446594758105,30.8140511167802,0.0,20.8823781894756,82.433148129652,20.7704590262676,68.1050846967779,1,1,0
13,2025-02-15 22:12:08.283260,1.6646676063537598,1.6558098793029785,35.0034324801876,30.6652947726428,0.0,21.2735694174294,83.2413494281853,21.1626488167707,68.99184622226,1,1,0
14,2025-02-15 22:13:31.567360,1.7189017534255981,1.7165299654006958,34.9845548246426,30.6552737882564,0.0,21.2728126726201,83.2731045792586,21.161959200915,69.0243603804444,1,1,0
15,2025-02-15 22:14:58.352300,1.7730854749679565,1.777100682258606,34.9658609981151,30.6431249443415,0.0,21.272597392082,83.3050461441281,21.1618252714286,69.0644545712401,1,1,0
16,2025-02-15 22:16:23.144499,1.8813014030456543,1.8375234603881836,34.9471824338288,30.6310261227138,0.0,21.2724071957445,83.3369671426755,21.1617160611217,69.1043818422799,1,1,0
17,2025-02-15 22:17:46.776674,1.8813014030456543,1.897798776626587,34.9285217030937,30.6189455337437,0.0,21.2722499472575,83.3688707596244,21.1616396535023,69.1442594086956,1,1,0
18,2025-02-15 22:19:13.500445,1.9353338479995728,1.9579269886016846,34.9098786402263,30.6068827506162,0.0,21.2721251144658,83.4007568114704,21.1615955112591,69.1840881898175,1,1,0
19,2025-02-15 22:20:37.365689,1.9893159866333008,2.017909049987793,34.8912534447735,30.5948381452651,0.0,21.272033236688,83.4326255511225,21.1615841749023,69.2238675979358,1,1,0
20,2025-02-15 22:22:03.510344,2.043247699737549,2.077744960784912,34.8726460077592,30.5828115358172,0.0,21.2719739560139,83.4644768643733,21.1616052896015,69.2635979830767,1,1,0
21,2025-02-15 22:23:30.266135,2.0971293449401855,2.1374359130859375,34.8540562694198,30.570802956779,0.0,21.2719470536705,83.4963106956328,21.1616586311384,69.3032791091081,1,1,0
22,2025-02-15 22:24:57.612071,2.150960683822632,2.19698166847229,34.8354844412324,30.5588127093451,0.0,21.2719531066837,83.5281273117144,21.1617447847892,69.3429106700455,1,1,0
23,2025-02-15 22:26:17.525405,2.204741954803467,2.2563834190368652,34.8169302080504,30.5468404277453,0.0,21.2719911524841,83.5599263537774,21.161862778892,69.3824930046008,1,1,0
24,2025-02-15 22:27:42.985943,2.2584731578826904,2.315641403198242,34.7983937225459,30.5348862114723,0.0,21.2720615989091,83.591708018665,21.1620130318037,69.4220263042126,1,1,0
25,2025-02-15 22:29:08.090101,2.3149971961975098,2.378997325897217,34.6782504292348,30.5062586434426,0.0,21.3695979329534,83.8944830077427,21.259740353399,69.6139682035591,1,1,0
26,2025-02-15 22:30:32.369095,2.371469020843506,2.4406440258026123,34.6589800749147,30.4956250640237,0.0,21.3702479418182,83.9279655138383,21.2604612839904,69.6496650331379,1,1,0
27,2025-02-15 22:31:57.528977,2.427889108657837,2.502143144607544,34.6398453467404,30.483440180733,0.0,21.3712952660057,83.9615769008219,21.2615898359743,69.6908442253343,1,1,0
28,2025-02-15 22:33:26.034775,2.484257698059082,2.563494920730591,34.6207268551846,30.4712909021278,0.0,21.3723706637996,83.9951683102236,21.262746201078,69.7319089965988,1,1,0
29,2025-02-15 22:34:46.570308,2.540574550628662,2.6247003078460693,34.6016258497604,30.4591599694875,0.0,21.3734779790581,84.0287413249569,21.2639343261956,69.7729229266086,1,1,0
30,2025-02-15 22:36:11.095949,2.6530537605285645,2.685760021209717,34.5825424151568,30.4470472448895,0.0,21.3746174160604,84.0622960597455,21.2651544246274,69.8138867544564,1,1,0
31,2025-02-15 22:37:32.257643,2.6530537605285645,2.746674060821533,34.5634767322678,30.4349529137725,0.0,21.3757894588994,84.0958327447735,21.2664069891431,69.8548004684783,1,1,0
32,2025-02-15 22:40:22.157196,2.7318475246429443,2.831895112991333,34.5253977408103,30.4108192976291,0.0,21.3782286117274,84.1628509743877,21.269006718261,69.9364756175066,1,1,0
33,2025-02-15 22:41:45.597124,2.7654645442962646,2.8850369453430176,34.6107381036205,29.2352739527632,0.0,21.651986437271,84.2872060241852,21.5504557810375,73.9640334276157,1,1,0
34,2025-02-15 22:43:09.864966,2.8217756748199463,2.972160816192627,34.5994841768169,29.2271544897292,0.0,21.6530498508622,84.3073936222469,21.5515703847516,73.9894738106821,1,1,0
35,2025-02-15 22:44:29.615762,2.878037214279175,3.0591394901275635,34.5810938407605,29.2078078030592,0.0,21.6562072208455,84.3417667442807,21.5548521543259,74.0526583523253,1,1,0
36,2025-02-15 22:45:52.660413,2.934248924255371,3.1459739208221436,34.562713760158,29.1885075137823,0.0,21.6593844819954,84.3761174695439,21.5581534162012,74.1156399449699,1,1,0
37,2025-02-15 22:47:13.348996,3.000490665435791,3.2644598484039307,34.1923048183909,28.4598740387124,0.0,22.0957138247362,85.4353996210337,21.9991129862108,76.7691254614336,1,1,0
38,2025-02-15 22:48:35.976052,3.0666768550872803,3.3814966678619385,34.1717164915321,28.4377267195105,0.0,22.1022455919491,85.4764089709422,22.0057839768739,76.8418525815567,1,1,0
39,2025-02-15 22:50:00.294905,3.132807970046997,3.4983441829681396,34.1513740127853,28.4124612402528,0.0,22.1095037609722,85.5176855301794,22.013200818552,76.9245068903626,1,1,0
40,2025-02-15 22:51:25.138221,3.1988842487335205,3.6150026321411133,34.1310470432446,28.3872300369296,0.0,22.1167885777242,85.5589398948123,22.0206439599407,77.0069803659796,1,1,0
41,2025-02-15 22:52:48.436100,3.2649054527282715,3.7314720153808594,34.1107367063427,28.3620194419871,0.0,22.1241037358477,85.6001736108072,22.0281171927983,77.0893288820118,1,1,0
42,2025-02-15 22:54:13.212984,3.330872058868408,3.847752809524536,34.0904429071171,28.3368294475803,0.0,22.1314489113441,85.641386573697,22.0356201929375,77.1715523506294,1,1,0
43,2025-02-15 22:55:40.111133,3.3967838287353516,3.9638450145721436,34.0701657144484,28.311660261017,0.0,22.1388242589517,85.6825788801684,22.0431531178039,77.2536505783244,1,1,0
44,2025-02-15 22:57:07.660839,3.4626407623291016,4.079748630523682,34.0499050100562,28.2865117670985,0.0,22.1462293882922,85.7237503981702,22.0507155742721,77.3356237794039,1,1,0
45,2025-02-15 22:58:28.996132,3.52850341796875,4.196717739105225,34.0519735297447,28.2731005224772,0.0,22.2181318175847,85.7921385182687,22.122701795798,77.4472073341688,1,1,0
46,2025-02-15 22:59:53.895435,3.594313859939575,4.42781925201416,34.03270671029,28.2515954698691,0.0,22.2283631683175,85.8344796896794,22.1330675774927,77.5211211326257,1,1,0
47,2025-02-15 23:01:17.617004,3.6600728034973145,4.42781925201416,34.0136712436326,28.227281036676,0.0,22.2392709664906,85.8770698686867,22.144127227083,77.6039195881494,1,1,0
48,2025-02-15 23:02:41.337260,3.725780725479126,4.543097019195557,33.9946722858109,28.2030130188506,0.0,22.2502647714563,85.9196652159514,22.1552724662785,77.6865702763158,1,1,0
49,2025-02-15 23:04:06.483204,3.788541316986084,4.659177303314209,34.1465082943541,28.1861389792502,0.0,22.3040466933186,85.7195717019063,22.2091595645627,77.7900822972787,1,1,0
50,2025-02-15 23:05:36.003206,3.851255178451538,4.774167537689209,34.1291066795448,28.1646436835817,0.0,22.3166652108089,85.7612770915948,22.2219120965827,77.8660788353981,1,1,0
51,2025-02-15 23:07:05.500466,3.9139223098754883,4.888979911804199,34.1119158892152,28.1409263432162,0.0,22.329893777187,85.8032060949065,22.2352883943497,77.9491279729028,1,1,0
52,2025-02-15 23:08:28.551022,3.9813289642333984,4.815237522125244,35.8660003957392,0.0,0.0,27.6411655745453,88.0379098316316,27.6411655745485,61.5513120311371,1,0,0
53,2025-02-15 23:09:52.543583,4.048897743225098,4.7417778968811035,35.9260351146725,0.0,0.0,27.8912940366858,88.1814857900564,27.891294036689,61.4920477110475,1,0,0
,,4.019399166107178,4.668629169464111,,,,,,,,,,
