iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
0,2025-02-15 21:52:52.167702,3.0,0.0,0.0,0.0,0.0,0,1
1,2025-02-15 21:54:14.187089,3.0319082736968994,90.6913592701852,90.708647656574,2.97794059526657,37.935620892361,1,1
2,2025-02-15 21:55:45.905153,3.026608943939209,96.124506279897,96.143365891218,2.97543070109329,35.0541535176825,1,1
3,2025-02-15 21:57:14.614229,3.0213685035705566,96.1269822082158,96.145842545806,2.97542952606938,35.0528268358188,1,1
4,2025-02-15 21:58:41.987017,3.016186475753784,96.1294274953153,96.1482885501999,2.97542837347213,35.0515165625884,1,1
5,2025-02-15 22:00:14.627130,3.0110628604888916,96.1318264380637,96.1506881966572,2.97542723785569,35.050231105841,1,1
6,2025-02-15 22:01:42.666120,3.0059971809387207,96.1341822855864,96.1530447352556,2.97542611750561,35.0489687251129,1,1
7,2025-02-15 22:03:09.289872,3.0009894371032715,96.1364952064525,96.1553583346133,2.97542502578065,35.047729344105,1,1
8,2025-02-15 22:04:39.716508,2.9960391521453857,96.1387723037378,96.1576360998892,2.97542394816316,35.0465091460377,1,1
9,2025-02-15 22:06:10.946910,2.9911463260650635,96.1409983728484,96.1598628220288,2.975422895978,35.0453162830127,1,1
10,2025-02-15 22:07:41.503892,2.976238965988159,96.5758871826452,96.5948793521755,2.975216593809,34.8120869112017,1,1
11,2025-02-15 22:09:09.484590,2.9466564655303955,96.5854198075844,96.604414779831,2.97521206712669,34.8069704782384,1,1
12,2025-02-15 22:10:34.394925,2.9466564655303955,96.5948742001522,96.6138719523178,2.97520756635278,34.8018957552904,1,1
13,2025-02-15 22:12:02.823495,2.9354751110076904,96.0369079088544,96.0557418305739,2.97547214906335,35.1010837677544,1,1
14,2025-02-15 22:13:28.094741,2.924368143081665,96.0431870250091,96.0620227877627,2.97546918152143,35.0977203232694,1,1
15,2025-02-15 22:14:53.707029,2.9133362770080566,96.049382261204,96.0682198404866,2.97546625064057,35.0944016899578,1,1
16,2025-02-15 22:16:20.229238,2.891496181488037,96.055531893525,96.074371276022,2.97546334085799,35.09110740997,1,1
17,2025-02-15 22:17:42.701015,2.891496181488037,96.0616341961238,96.0804753680137,2.97546045217271,35.087838408214,1,1
18,2025-02-15 22:19:07.654062,2.880687713623047,96.0676958932807,96.0865388427121,2.97545758623189,35.0845910890334,1,1
19,2025-02-15 22:20:34.060629,2.869952917098999,96.0737015612873,96.0925462718852,2.97545474731712,35.0813737135526,1,1
20,2025-02-15 22:21:59.101326,2.8592917919158936,96.0796650359465,96.0985114953914,2.97545192231378,35.0781788651549,1,1
21,2025-02-15 22:23:26.471002,2.8487040996551514,96.0855818557777,96.1044300504407,2.97544912411981,35.0750089461647,1,1
22,2025-02-15 22:24:53.551067,2.8381893634796143,96.0914442990956,96.1102942130822,2.97544634964487,35.0718680884586,1,1
23,2025-02-15 22:26:13.517102,2.827747344970703,96.0972663884362,96.1161180099626,2.97544359420183,35.0687487832003,1,1
24,2025-02-15 22:27:39.184415,2.817377805709839,96.1030479275094,96.1219012447334,2.97544085975901,35.0656511386727,1,1
25,2025-02-15 22:29:03.799931,2.8079872131347656,95.9722092483795,95.9910242036436,2.97550274752728,35.1357358317258,1,1
26,2025-02-15 22:30:27.457288,2.7986674308776855,95.977114615194,95.99593100823,2.97550043366898,35.1331088795326,1,1
27,2025-02-15 22:31:51.909236,2.7802412509918213,95.9819515790559,96.0007693898686,2.9754981438213,35.1305184800089,1,1
28,2025-02-15 22:33:19.933929,2.7711341381073,95.986748787237,96.0055680042081,2.97549587746149,35.1279493302818,1,1
29,2025-02-15 22:34:42.758207,2.7711341381073,95.9915004655972,96.0103210754155,2.97549362808978,35.1254045143587,1,1
30,2025-02-15 22:36:04.000392,2.7620973587036133,95.996209531666,96.0150315218742,2.97549139931988,35.1228824760537,1,1
31,2025-02-15 22:37:27.404029,2.7531306743621826,96.0008665774593,96.0196899328416,2.9754891979806,35.1203882575996,1,1
32,2025-02-15 22:40:17.451166,2.740673542022705,96.0100495416089,96.0288755889963,2.97548485405759,35.1154699203274,1,1
33,2025-02-15 22:41:40.267817,2.735650062561035,95.9970788460584,96.0159010911122,2.97549098976996,35.1224168729856,1,1
